1. Tasto premuto: Arrabbiata, Occhi: -45.0, Bocca: -0.75
2. Tasto premuto: Impaurita, Occhi: 33.75, Bocca: 0.25
3. Tasto premuto: Decisa, Occhi: -33.75, Bocca: 0.75
4. Tasto premuto: Preoccupata, Occhi: -11.25, Bocca: -0.5
5. Tasto premuto: Preoccupata, Occhi: 11.25, Bocca: -0.25
6. Tasto premuto: Delusa, Occhi: 22.5, Bocca: -1.0
7. Tasto premuto: Tranquilla, Occhi: 45.0, Bocca: 1.0
8. Tasto premuto: Tranquilla, Occhi: 22.5, Bocca: 0.5
9. Tasto premuto: Decisa, Occhi: -45.0, Bocca: 0.0
10. Tasto premuto: Preoccupata, Occhi: -11.25, Bocca: -1.0
11. Tasto premuto: Tranquilla, Occhi: 33.75, Bocca: 0.75
12. Tasto premuto: Minacciosa, Occhi: -45.0, Bocca: 1.0
13. Tasto premuto: Arrabbiata, Occhi: -33.75, Bocca: -1.0
14. Tasto premuto: Tranquilla, Occhi: 0.0, Bocca: 0.75
15. Tasto premuto: Arrabbiata, Occhi: -45.0, Bocca: -1.0
16. Tasto premuto: Tranquilla, Occhi: 11.25, Bocca: 1.0
17. Tasto premuto: Delusa, Occhi: 33.75, Bocca: -0.5
18. Tasto premuto: Delusa, Occhi: 0.0, Bocca: -0.75
19. Tasto premuto: Decisa, Occhi: -11.25, Bocca: 0.75
20. Tasto premuto: Tranquilla, Occhi: 11.25, Bocca: 0.75
21. Tasto premuto: Decisa, Occhi: -22.5, Bocca: -0.5
22. Tasto premuto: Preoccupata, Occhi: -22.5, Bocca: -0.75
23. Tasto premuto: Felice, Occhi: 0.0, Bocca: 1.0
24. Tasto premuto: Arrabbiata, Occhi: -45.0, Bocca: -0.5
25. Tasto premuto: Minacciosa, Occhi: -11.25, Bocca: 1.0
26. Tasto premuto: Decisa, Occhi: -22.5, Bocca: 0.0
27. Tasto premuto: Preoccupata, Occhi: 11.25, Bocca: -0.5
28. Tasto premuto: Arrabbiata, Occhi: -33.75, Bocca: -0.75
29. Tasto premuto: Impaurita, Occhi: 45.0, Bocca: 0.0
